ifc_model;project;question;Ground Truth;answer;Comparison Result;classification
arc;duplex;What is the depth of the foundation?;The depth of the foundation is 300 mm;"Based on the IFC model data, I can now answer your question about the foundation depth.
The depth of the foundation is 0.3 meters (300 mm).
This information comes from the IfcFooting element properties:

In the property set PSet_Revit_Type_Dimensions, the ""Foundation Thickness"" is listed as 0.3 meters
The geometry dimensions also confirm this with a Z-dimension (height/depth) of 0.3 meters
The foundation type is ""Bearing Footing - 900 x 300"", where the 300 refers to the 300mm depth

The foundations in this model are strip footings that are 900mm wide and 300mm deep (0.3m).Wiederholen";WAHR;Directly accessible information
arc;duplex;What is the specification of the concrete used in the ground floor slab?;The ground floor slab is a 127mm thick, 64.78 sqm interior slab on grade, but the concrete specification is missing from the model's data.;"Based on my analysis of the IFC model, here is the specification of the concrete used in the ground floor slab:
Ground Floor Slab Concrete Specification
Basic Identification:

Slab Name: Floor: 127mm Slab on Grade
Location: Level 1 (Ground Floor)
Classification: Structural Floor Decks (Code: 23-25 30 27 11)

Material Information:

Material: Concrete
Thickness: 127 mm (5 inches)
Slab Type: Cast-in-situ slab on grade (ground bearing slab)
Load Bearing: Yes
Application: Interior ground floor slab

Geometric Properties:

Area: 64.78 m²
Volume: 8.23 m³
Perimeter: 34.55 m

Important Note:
The IFC file does not contain detailed concrete specifications such as:

Concrete grade/strength class (e.g., C25/30, C30/37)
Mix design details
Cement type
Aggregate specifications
Admixtures
Reinforcement details

This is typical for architectural BIM models exported from Revit, which often contain only generic material names. For detailed concrete specifications including grade, strength, mix design, and reinforcement requirements, you would need to refer to:

Structural engineering drawings
Material schedules
Project specifications documentation
Construction detail drawings

The model only identifies it as generic ""Concrete"" used in a 127mm thick slab on grade application at the ground floor level.Wiederholen";WAHR;Directly accessible information
arc;duplex;Are there any steel beams spanning the living room of Duplex B?;No, there are no steel beams spanning the living room of Duplex B;"Yes, there is a steel beam spanning the living room of Duplex B.
Based on my analysis of the IFC model, I found:
The Steel Beam:

Name: M_W-Wide Flange:W410X60:W410X60:209261
Material: Metal - Steel - 345 MPa
Type: W410X60 (W-shape wide flange steel section)
Location: X=8.59m, Y=-0.28m, Z=3.10m (positioned at ceiling height)
Length: 6.18 meters
GUID: 2OrWItJ6zAwBNp0OUxK$Du

Living Room Details:
The living room in Duplex B is identified as Space B102 with the long name ""Living Room"". It's located on Level 1 (ground floor) of the building.
Spatial Context:
The building contains two duplex units separated by a party wall at approximately X=4.4m. Duplex B occupies the area from X=4.4m to X=8.8m. The steel beam in question is positioned at X=8.59m (on the Duplex B side) and Y=-0.28m (in the front area where the living room is located), running perpendicular to the building's length.
This W410X60 steel beam is a load-bearing structural element (as confirmed by the property ""LoadBearing: true"") that spans across the living room area at ceiling height (Z=3.10m), providing structural support for the building above.";FALSCH;Directly accessible information
arc;duplex;What is the thickness of the external walls?;The thickness of the external walls is 417 mm;"The thickness of the external walls is 417 mm (0.417 meters).
This information comes from the property set PSet_Revit_Type_Construction where the Width is listed as 0.4170000000000001 meters, which equals 417 mm.
The wall is identified as:

Type: ""Basic Wall: Exterior - Brick on Block""
Property: IsExternal: true (confirming it's an external wall)
The geometry dimensions also show a thickness of 0.417 meters

This is a typical construction for an external wall with brick facing on concrete block backing, which explains the substantial thickness of 417mm.Wiederholen";WAHR;Directly accessible information
arc;duplex;What type of roof structure is used?;The roof is a flat, wood-joist structure designed for a live roof.;"Roof Structure Type
The building uses a Flat Roof with Wood Joist Construction, specifically:
System Name:

""Live Roof over Wood Joist Flat Roof""

Key Characteristics:

Roof Form: Flat roof (minimal slope for drainage)
Structural System: Wood joist framing

Traditional platform framing construction
Suitable for residential applications
Designed to support live loads (snow, maintenance, etc.)


Construction Details:

Total thickness: approximately 457 mm (0.457 meters)
Total area: 132.93 m²
Volume: 60.75 m³
Maximum ridge height: 6.457 meters above base level


Classification:

Type: ""Basic Roof"" system
Construction code: 23-25 30 27 14 (Structural Roof Decks)
Non-external (interior space below)



This is a typical residential flat roof construction using dimensional lumber joists, which is common in multi-family residential buildings. The wood joist system provides an economical and easily constructed roof structure suitable for the building's span requirements.Wiederholen";WAHR;Directly accessible information
arc;duplex;Where are the main structural walls located?;The main structural walls are the exterior brick-on-block and concrete foundation walls.;"Main Structural (Exterior) Walls
The primary structural walls are the exterior perimeter walls made of ""Exterior - Brick on Block"" construction. These are located on all four sides of the building:
North Wall (Front)

Runs along Y = -0.417 to 0.0
Length: approximately 8.8 meters
Height: 2.9 meters (from elevation 3.1m to 6.0m)
GUID: 2O2Fr$t4X7Zf8NOew3FLQD

South Wall (Rear)

Runs along Y = -17.383 to -17.8
Length: approximately 8.8 meters
Height: 2.9 meters
GUID: 2O2Fr$t4X7Zf8NOew3FLOH

West Wall (Left side)

Runs along X = 0.0 to 0.417
Length: approximately 17.8 meters (full building depth)
Height: 2.9 meters
GUID: 2O2Fr$t4X7Zf8NOew3FLPP

East Wall (Right side)

Runs along X = 8.383 to 8.8
Length: approximately 17.8 meters
Height: 2.9 meters
GUID: 2O2Fr$t4X7Zf8NOew3FLR9

Central Party Wall
There's also a critical party wall (demising wall) running down the center of the building:

Location: X = 4.4 (center line)
Runs from Y = -0.417 to -17.383
Length: approximately 16.966 meters
Type: ""Party Wall - CMU Residential Unit Demising""
GUID: 2O2Fr$t4X7Zf8NOew3FKau

This central wall divides the building into two residential units (Unit A and Unit B), making it a load-bearing structural element.
Foundation Walls
Below the main structure, there are foundation walls made of concrete (417mm and 435mm thick) at elevation -1.25m that support the entire building perimeter and the central party wall.
The screenshot shows this is a two-story residential duplex with the main structural envelope forming a rectangular footprint approximately 8.8m × 17.8m.";WAHR;Directly accessible information
arc;duplex;What is the live load capacity of the first floor?;Information not available in the BIM model.;"Summary
The IFC model does not contain explicit live load capacity information for the first floor (Level 1).
What I found:

Level 1 contains 10 floor slabs, including:

127mm Slab on Grade
150mm Exterior Slab on Grade
Various finish floor types (wood and ceramic tile)


All slabs are marked as load-bearing (LoadBearing: True in the Pset_SlabCommon property set)
Structural properties present but limited:

Thickness values (0.127m, 0.150m)
Area and volume calculations
The slabs are marked as non-structural in the Revit structural properties (Structural: False), which may indicate they're architectural floors rather than structural slabs



Why the information might be missing:

Not exported from the source software - Live load design criteria are often maintained in the structural engineering software but not always exported to IFC
Stored elsewhere - This information might be in separate structural engineering documents, specifications, or building code compliance documents
Model purpose - If this is an architectural coordination model, structural design loads may not have been included

Recommendations:
To find the live load capacity for Level 1, you should:

Check the original structural engineering drawings and specifications
Review the building code requirements for the building's occupancy type
Consult with the structural engineer or review structural calculations
Check if there's a separate structural analysis model with this information

Would you like me to help you examine any specific aspect of the floor structure in more detail?Wiederholen";WAHR;Insufficient information
arc;duplex;What is the fire rating of the internal doors?;Information not available in the BIM model.;"Fire Rating Summary
All internal doors in this building have a fire rating value of ""Fire Rating""
Specifically:

10 Internal Doors (doors A104, A202-A205, B104, B202-B205): All have the same fire rating designation of ""Fire Rating""
4 External Doors (doors A101-A102, B101-B102): Also have the same fire rating designation of ""Fire Rating""

Important Note:
The fire rating property in this IFC model appears to be set to a placeholder text value ""Fire Rating"" rather than a specific rating designation (like ""30 minutes"", ""60 minutes"", ""FD30"", ""FD60"", etc.). This suggests that either:

The actual fire rating specifications need to be populated in the model with specific values
The fire ratings are documented elsewhere in the project documentation
This is a template or placeholder value that should be updated with the actual fire rating requirements

Recommendation: You should verify the actual fire rating requirements from the project specifications or building regulations, as the current IFC model only contains placeholder values rather than specific fire resistance ratings.Wiederholen";WAHR;Insufficient information
arc;duplex;How many fire exits are there on each floor?;The question cannot be answered definitively with the information available in the BIM model. There are 4 doors to the outside that could be used to escape from the house on the ground floor. However, their fire resistance is not specified.;"Fire Exits by Floor
Based on the IFC building model analysis, here's the fire exit count for each floor:
Level 1 (Ground Floor): 4 fire exits

2 primary fire exit doors (1250mm x 2010mm) - Main emergency exit doors leading directly to exterior
2 glass patio doors (0813 x 2420mm) - Secondary egress routes through patios

Level 2 (Second Floor): 0 direct fire exits

No fire exits on this floor
Egress from Level 2 is via the interior stairs leading down to Level 1, where occupants can then use the 4 fire exits

Building Summary:

Total fire exits: 4 (all located on Level 1)
The building follows typical residential building code requirements where upper floors rely on protected stairways for evacuation to ground floor exits

The fire exit configuration makes sense for a residential building - Level 1 has multiple exit points (both primary large doors and secondary patio doors), while Level 2 residents would use the stairs to evacuate to Level 1 and then exit through one of the 4 ground floor fire exits.Wiederholen";WAHR;Insufficient information
arc;duplex;What is the distance from the furthest point to the nearest emergency exit?;Approximately 22 metres.;"Based on my analysis of the building model, the distance from the furthest point to the nearest emergency exit is approximately 9.80 meters.
Here are the key findings:
Emergency Exit Locations (4 exits identified):

Exit 1: Located at coordinates [6.17, -17.38, 0.00] meters
Exit 2: Located at coordinates [2.63, -0.42, 0.00] meters
Exit 3: Located at coordinates [8.38, -15.55, 0.00] meters
Exit 4: Located at coordinates [0.42, -2.25, 0.00] meters

Furthest Point:

Location: [4.40, -8.90, 6.00] meters (center of the roof level)
Nearest exit from this point: Exit 3
Distance: 9.80 meters

The emergency exits I identified are:

Two ""Single-Glass"" doors (0813 x 2420mm) - typically glazed exit doors
Two wider ""Single-Flush"" doors (1250mm x 2010mm) - meeting accessibility requirements for exits

The furthest point is at the center of the roof level (6 meters high), which makes sense as it's elevated and centrally located relative to the ground-level exits positioned around the building perimeter.";WAHR;Insufficient information
arc;duplex;Are there fire-rated walls between different zones?;Probably, but we don't know for sure. There is a CMU wall in the building between the two units, but it is not explicitly specified as a firewall.;"Fire-Rated Walls Between Zones
Yes, there are party walls between different zones, but explicit fire rating properties are not documented in the IFC model.
What I Found:

Party/Demising Walls Present: The model contains ""Party Wall - CMU Residential Unit Demising Wall"" elements that separate different residential units (zones). These walls are located between:

Unit A and Unit B zones
Spanning across both Level 1 and Level 2


Wall Construction: The party walls have a substantial multi-layer construction:

Total thickness: 0.55m (550mm)
Layer composition:

Plasterboard (16mm) on each side
Metal stud layer (41mm) on each side
Two concrete block layers (193mm each) - the primary fire-resistant components
Air space (50mm) between concrete block layers



This construction with double concrete masonry units (CMU) and separation layers is typically designed for fire resistance, often achieving 2-4 hour fire ratings.
Property Classification: These walls are marked as:

IsExternal: True (separating different occupancies)
Classification Code: ""23-25 30 24 14"" (Masonry Structural Walls)
Classification Description: ""Masonry Structural Walls""



Important Note:
While the physical construction strongly suggests fire-rated walls (concrete block construction with proper layering), the fire rating value itself is not explicitly documented in the IFC file's property sets. The model lacks specific properties like ""FireRating"" or ""FireResistance"" with time ratings (e.g., ""2-hour rated"").
Recommendation: To definitively confirm the fire rating, you should consult the architectural specifications, building code documentation, or the original Revit model where this information may be stored in different property fields.Wiederholen";WAHR;Insufficient information
arc;duplex;What is the width of the emergency escape routes?;The model does not explicitly provide this information. However, it can be inferred that the width is at least 864 mm, based on the width of the doors in the hallway.;"Based on my analysis of the IFC model, I found information about the emergency escape routes. The building has stairways that serve as the primary emergency escape routes, and I also identified hallway spaces that are part of the circulation system.
Here are the key findings:
Stairways (Primary Emergency Escape Routes):
Both stairs in the building have a width of 1.0 meter (approximately 3.3 feet).
Stair Details:

Stair 1 (GUID: 21ldoMpbP4VfsJ0XGY_34d) - Located in Unit A (Space A105)
Stair 2 (GUID: 0wkEuT1wr1kOyafLY4v_O1) - Located in Unit B (Space B105)
Both stairs connect Level 1 to Level 2
Type: Residential stairs with 200mm max riser and 250mm tread
Width: 1.0 meter

Hallways (Secondary Circulation/Escape Routes):
The building has hallway spaces on Level 2:

Space A201 (Hallway in Unit A) - Area: 7.80 m², Perimeter: 15.32 m
Space B201 (Hallway in Unit B) - Area: 7.80 m², Perimeter: 15.32 m

The model doesn't contain specific width measurements in the property sets for the hallways, but based on the area and perimeter dimensions, these appear to be the internal circulation corridors within each residential unit.
Summary: The emergency escape routes (stairs) in this residential building have a width of 1.0 meter (1,000 mm).Wiederholen";FALSCH;Indirectly accessible information
arc;duplex;What is the thickness of the insulation of the external walls?;The thickness of the insulation of the external walls is 50 mm.;"Insulation Thickness of External Walls
The insulation thickness of the external walls is 50 mm (2 inches).

Details:
The external walls in this building use a ""Exterior - Brick on Block"" wall type with the following layer composition (from outside to inside):

Masonry - Brick: 92 mm
Air Space: 25 mm
Insulation / Thermal Barriers - Rigid insulation: 50 mm ← Insulation layer
Masonry - Concrete Block: 193 mm
Metal - Stud Layer: 41 mm
Plasterboard: 16 mm
The rigid insulation layer is positioned between the air space and the concrete block backing, which is a typical construction detail for cavity wall systems. This 50 mm rigid insulation provides the thermal barrier for the external envelope of the building.
";WAHR;Directly accessible information
arc;duplex;Which type of glazing is used in the windows?;Information not available in the BIM model.;"Perfect! Now I have the answer. The glazing type is simply labeled as ""Glass"" in all 24 windows in the IFC model. This is stored in the property set ""PSet_Revit_Type_Materials and Finishes"" under the property ""Glass Pane Material"".
Based on my analysis of the IFC model, the glazing type used in the windows is ""Glass"".
This information is found in all 24 windows in the property set PSet_Revit_Type_Materials and Finishes under the property name Glass Pane Material.
The model contains:

24 windows total (all fixed windows)
All windows use the same glazing type: ""Glass""
Window types include:

M_Fixed: 2800mm x 2410mm
M_Fixed: 819mm x 759mm
M_Fixed: 750mm x 2200mm



The glazing specification is quite generic in this model - simply labeled as ""Glass"" without further details about whether it's single, double, or triple glazing, or any specific glass type (tempered, laminated, low-e, etc.).Wiederholen";WAHR;Insufficient information
arc;duplex;Is there a vapor barrier in the roof construction?;Yes, the roof has two vapor barrier.;"Yes, there IS a vapor barrier in the roof construction!
Based on my analysis of the IFC model, the roof construction ""Live Roof over Wood Joist Flat Roof"" contains multiple vapor/moisture control layers:
Vapor Barrier Layers Found:

Layer 2: Roofing - Barrier (6 mm thick)

This is explicitly named as a barrier layer


Layer 3: Roofing - EPDM Membrane (6 mm thick)

EPDM (Ethylene Propylene Diene Monomer) is a waterproof membrane that also acts as a vapor barrier


Layer 4: Insulation / Thermal Barriers - Rigid insulation (76 mm thick)

Many rigid insulation materials act as vapor retarders



Complete Roof Assembly (from interior to exterior):

Wood - Dimensional Lumber (286 mm) - structural framing
Wood - Sheathing - plywood (19 mm) - roof deck
Insulation / Thermal Barriers - Rigid insulation (76 mm)
Roofing - EPDM Membrane (6 mm) - waterproofing/vapor barrier
Roofing - Barrier (6 mm) - additional barrier layer
Site - Grass (64 mm) - green roof surface layer

This is a green roof (living roof) system with multiple moisture protection layers, which is appropriate for this type of construction.";WAHR;Directly accessible information
arc;duplex;What type of insulation is used in the external walls?;The external walls utilize 50mm thick rigid insulation located between the air cavity and concrete block.;"Perfect! I found the information about insulation in the external walls. Based on the IFC model data, I can provide you with the answer:
Insulation Type in External Walls
The external walls in this building use Rigid Insulation as the thermal barrier material.
External Wall Construction Details
The exterior walls (labeled as ""Basic Wall:Exterior - Brick on Block"") have the following layered composition from outside to inside:

Masonry - Brick: 92mm (0.092m)
Air Space: 25mm (0.025m)
Insulation / Thermal Barriers - Rigid insulation: 50mm (0.050m) ← This is the insulation layer
Masonry - Concrete Block: 193mm (0.193m)
Metal - Stud Layer: 41mm (0.041m)
Plasterboard: 16mm (0.016m)

The rigid insulation layer is positioned between the exterior brick veneer and the concrete block backing, with an air cavity separating the brick from the insulation. This is a common construction method that provides both thermal performance and moisture management.
The total thickness of the insulation is 50mm (approximately 2 inches), which provides the thermal barrier for the building envelope.Wiederholen";WAHR;Directly accessible information
arc;duplex;Are there any thermal bridges identified in the model?;Information not available in the BIM model.;"Based on my analysis of the IFC model, no thermal bridges have been identified or explicitly modeled in this building model.
Search Results:

❌ No IfcThermalBridge entities found
❌ No thermal-related properties (such as U-values, R-values, thermal transmittance)
❌ No thermal-related connection elements or annotations

What This Means:
The IFC model (Schema: IFC2X3) contains the basic building elements—56 walls, 21 slabs, 1 roof, 24 windows, 14 doors, and other structural components—but lacks specific thermal bridge information or energy analysis data.
Thermal bridges typically occur at:

Wall-to-floor junctions (56 walls + 21 slabs could have potential bridges)
Wall-to-roof connections (where walls meet the roof)
Window and door openings (38 total openings)
Structural penetrations (beams, columns through building envelope)
Balcony or canopy connections

Recommendations:
To identify and analyze thermal bridges in this building, you would need to:

Export the geometry to dedicated energy analysis software (e.g., THERM, HEAT3, or building energy modeling tools)
Add thermal properties to materials and building elements
Perform thermal bridge calculations at critical junctions
Document findings back into the IFC model as property sets

Would you like me to help you identify potential thermal bridge locations based on the building geometry, or would you like to add thermal analysis properties to the model?Wiederholen";WAHR;Insufficient information
arc;duplex;What is the air tightness rating of the building envelope?;Information not available in the BIM model.;"Based on my thorough search of the IFC model, the building envelope does not have an air tightness rating specified.
The IFC model for this Duplex Apartment (Project 0001) contains the following information:
Building Properties Found:

Project Name: Duplex Apartment
Project Number: 0001
Number of Storeys: 4
Category: Duplex (Code: 11-16 21 11)

Air Tightness Information:
❌ Not available - The model does not contain any air tightness properties.
Typical air tightness data that would be expected but is missing includes:

Infiltration rate (ACH or m³/(h·m²))
Blower door test results (ACH50 or n50 values)
Air leakage values for the building envelope

This type of performance data would typically be stored in:

Pset_BuildingCommon property set
Custom energy or thermal performance property sets
Building envelope-specific property sets

Note: This appears to be an architectural model that focuses on geometry and spatial information rather than detailed building performance metrics. Air tightness ratings are usually added during energy modeling or after blower door testing has been conducted.Wiederholen";WAHR;Insufficient information
