ifc_model;project;question;Ground Truth;answer;Comparison Result;classification
arc;duplex;What is the depth of the foundation?;The depth of the foundation is 300 mm;The foundation (IfcFooting) depth is 0.30 m — the footing bounding boxes show a vertical dimension of 0.3 m (e.g. min Z = -1.55 m, max Z = -1.25 m).;WAHR;Directly accessible information
arc;duplex;What is the specification of the concrete used in the ground floor slab?;The ground floor slab is a 127mm thick, 64.78 sqm interior slab on grade, but the concrete specification is missing from the model's data.;"The ground-floor slab (IfcSlab ""Floor:127mm Slab on Grade"" — GUID 2O2Fr$t4X7Zf8NOew3FKcz) is specified as:
 

 - Type/name: Floor: 127 mm Slab on Grade  
 - Thickness: 0.127 m (127 mm) — direction_sense POSITIVE, offset 0.127 m  
 - Material assignment: an IfcMaterialLayerSetUsage with a single layer whose material name is ""Concrete"" (layer thickness 0.127 m)
 

 No further concrete specification (no concrete class/grade, compressive strength, or other material properties) is present on the slab entity in this IFC file. (Footings in the model use a material named ""Concrete - Cast In Situ"", but the slab itself only references ""Concrete"" without properties.)
 

 If you want, I can search the IFC for any property sets or IfcMaterialProperty entries that mention concrete strength (e.g., M20/M25, f'c, or similar) and report back.";WAHR;Directly accessible information
arc;duplex;Are there any steel beams spanning the living room of Duplex B?;No, there are no steel beams spanning the living room of Duplex B;"No — there are no steel beams spanning Duplex B's living room (Space B102).
 

 Reason / evidence:
 - Living room (IfcSpace B102, guid 0BTBFw6f90Nfh9rP1dl_CZ) vertical extent is about z = 0.02 m to z = 2.6 m (bounding box min z ≈ 0.019, max z ≈ 2.6).
 - All IfcBeam objects in the model have their geometry above the living-room ceiling level (z ≈ 2.69 m, 3.1 m or 6.0 m). Examples:
  - 2OrWItJ6zAwBNp0OUxK$Dv (W310X60) — bbox z = 3.1 m
  - 2OrWItJ6zAwBNp0OUxK$Du (W410X60) — bbox z = 3.1 m
  - 2OrWItJ6zAwBNp0OUxK$Dw (W410X60) — bbox z = 6.0 m
  - 2OrWItJ6zAwBNp0OUxK$8W — bbox min z ≈ 2.693 m (just above the 2.6 m ceiling)
 - None of the beam bounding boxes intersect the living-room bounding box in Z, so no beam physically spans inside that space.
 

 If you want, I can:
 - Highlight/select the beams near the living room in the model for visual confirmation, or
 - Run an explicit intersection query to list any beam geometries that overlap B102 (including a tolerance). Which would you prefer?";WAHR;Directly accessible information
arc;duplex;What is the thickness of the external walls?;The thickness of the external walls is 417 mm;"The external walls are 0.417 m thick (≈417 mm).  
 (Seen on exterior wall objects — geometry.dimensions shows a thickness of 0.4169999957 m.)";WAHR;Directly accessible information
arc;duplex;What type of roof structure is used?;The roof is a flat, wood-joist structure designed for a live roof.;"The model uses a flat, live roof over wood joists — listed as ""Basic Roof: Live Roof over Wood Joist Flat Roof"" (IfcRoof, GUID 0jf0rYHfX3RAB3bSIRjmxl).";WAHR;Directly accessible information
arc;duplex;Where are the main structural walls located?;The main structural walls are the exterior brick-on-block and concrete foundation walls.;"Summary — main structural walls (locations + how to find them)
 

 - Perimeter (exterior) walls — form the building envelope around the rectangle:
  - Extents: approx. X = 0.0 → 8.8 m, Y = 0.0 → -17.8 m.
  - North edge (near Y ≈ 0): e.g. ""IfcWallStandardCase / Basic Wall: Exterior - Brick on Block"" (GUID 2O2Fr$t4X7Zf8NOew3FLQD). Bounding box: min [0.0, -0.417, 3.1], max [8.8, 0.0, 6.0].
  - South edge (near Y ≈ -17.8): e.g. ""IfcWallStandardCase / Basic Wall: Exterior - Brick on Block"" (GUID 2O2Fr$t4X7Zf8NOew3FLOH). Bounding box spans X 0 → 8.383 at Y ≈ -17.383.
  - West edge (near X ≈ 0): several wall elements with X ≈ 0 → 0.417, Y range ≈ -17.383 → 0 (GUIDs 2O2Fr$t4X7Zf8NOew3FLPP / 2O2Fr$t4X7Zf8NOew3FNhv).
  - East edge (near X ≈ 8.38–8.8): walls at X ≈ 8.383–8.8 spanning Y ≈ -17.8 → 0 (GUIDs 2O2Fr$t4X7Zf8NOew3FLR9 / 2O2Fr$t4X7Zf8NOew3FLPP).
 

 - Primary internal/party (load-bearing) wall — central dividing wall:
  - Runs roughly north–south through the center at X ≈ 4.4 m
  - Example: ""IfcWall / Basic Wall: Party Wall - CMU Residential Unit Dimising"" (GUID 2O2Fr$t4X7Zf8NOew3FKau). Bounding box: min [4.4, -17.383, 3.1], max [4.4, -0.417, 3.1] — i.e. a full-height partition between the two halves.
 

 - Other structural/party walls:
  - A party/CMU segment near X ≈ 4.125–4.675 (between Y ≈ -10 and -7.8) that ties floors between levels (see GUIDs around 2O2Fr$t4X7Zf8NOew3FKRH / 2O2Fr$t4X7Zf8NOew3FKRi).
  - Several interior partition walls (non-loadbearing) are present (thin partitions at X ≈ 2.5–6.3 and various Y).
 

 - Foundations / footings (under the perimeter and main walls):
  - Located at Z ≈ -1.25 m under the same footprint as the perimeter and central wall (multiple IfcFooting and foundation IfcWallStandardCase entries; example footing GUID 0kF45Qs8L9PAM9kmb1lT2Z).
 

 - Vertical extent / storeys:
  - Ground/Level 1 walls extend from ~Z = 0 up to Z ≈ 3.1 m.
  - Upper/wall elements and exterior walls continue up to roof level at ≈ 6.0 m.
 

 If you want, I can: select/highlight those exterior + central party wall objects in the model or export a list of their GUIDs and exact bounding boxes. Which would you prefer?";WAHR;Directly accessible information
arc;duplex;What is the live load capacity of the first floor?;Information not available in the BIM model.;"I could not find a defined ""live load"" (imposed load) value in the model for the first floor.
 

 What I checked
 - The building storey ""Level 1"" (IfcBuildingStorey, GUID 1xS3BCk291UvhgP2dvNMKI) — its property sets do not contain a live/load or imposed-load property.
 - A representative floor slab on Level 1 (IfcSlab ""Floor:Finish Floor - Wood:171292"", GUID 2OBrcmyk58NupXoVOHUtgP) — its PSet entries (Pset_SlabCommon, PSet_Revit_Dimensions, etc.) contain thickness, area, volume, LoadBearing flag, but no explicit live/imposed load value.
 

 Typical design/live-load values (examples; check project code for required values)
 - Residential (dwelling rooms): ~1.5–2.0 kN/m² (≈ 30–40 psf)  
 - Offices: ~2.0–2.5 kN/m² (≈ 40–50 psf)  
 - Corridors / multi‑use areas: ~3.0–4.0 kN/m² (≈ 60–80 psf)  
 - Assembly / concentrated loads or storage: much higher (check code)
 

 If you need an exact live-load capacity for Level 1 I can:
 - Search the model for any project-level load definitions if you want me to look again, or
 - Add a standard live-load property into the IFC for the storey or slab (and write the value you specify), or
 - Run a basic capacity estimate if you provide structural information (slab span, reinforcement or material, beam/joist layout), or
 - Recommend the design live‑load per the code you use (specify which code: IBC/ASCE, Eurocode, BS, etc.)
 

 Which would you like me to do next?";WAHR;Insufficient information
arc;duplex;What is the fire rating of the internal doors?;Information not available in the BIM model.;"There is no actual numeric fire rating assigned. For the internal doors the PSet (Pset_DoorCommon / Revit type identity) shows the FireRating field set to the placeholder string ""Fire Rating"" (i.e. not specified). 
 

 If you want, I can pull the FireRating property for every door GUID or update them with the correct rating — tell me which doors or what rating to apply.";WAHR;Insufficient information
arc;duplex;How many fire exits are there on each floor?;The question cannot be answered definitively with the information available in the BIM model. There are 4 doors to the outside that could be used to escape from the house on the ground floor. However, their fire resistance is not specified.;"I counted exits by treating ""fire exits"" as doors that lead to the exterior (i.e., IfcDoor elements located on the building perimeter). Method: looked up all IfcDoor objects in the model, grouped them by storey elevation (Level 1 z ≈ 0.0, Level 2 z ≈ 3.1, T/FDN z ≈ -1.25, Roof z ≈ 6.0), then flagged those whose coordinates lie on the exterior (x ≲ 0.5 or x ≳ 8.3 or y ≲ −17.0).
 

 Result:
 - Level 1 (z ≈ 0.0): 3 fire exits
  - IfcDoor (1250mm x 2010mm) — GUID 1hOSvn6df7F8_7GcBWlRGQ at (8.383, −15.553, 0.0)
  - IfcDoor (1250mm x 2010mm) — GUID 1hOSvn6df7F8_7GcBWlRH8 at (0.417, −2.247, 0.0)
  - IfcDoor (0813 x 2420mm glass) — GUID 1s1jVhK8z0pgKYcr9jt7AB at (6.165, −17.383, 0.0)
 - Level 2 (z ≈ 3.1): 0 fire exits
 - T/FDN (z ≈ −1.25): 0 fire exits
 - Roof (z ≈ 6.0): 0 fire exits
 

 If you want a different definition of ""fire exit"" (for example: doors with a specific property set, a particular door type, or only doors flagged in IFC as emergency exits), I can re-run the check and look up door property sets to give a definitive answer.";WAHR;Insufficient information
arc;duplex;What is the distance from the furthest point to the nearest emergency exit?;Approximately 22 metres.;"Answer: approximately 3.76 m.
 

 Details / assumptions:
 - I treated ""points"" as the centers of IfcSpace objects (calculated as the midpoint of each space bounding box) and treated every IfcDoor as a potential emergency exit.
 - For each space center I computed the horizontal (XY) distance to the nearest door and then took the maximum of those nearest‑door distances.
 - The furthest space (largest minimum distance to a door) is space B102 (center ≈ [5.492, −2.809] m). Its nearest door is at ≈ [2.635, −0.417] m; the planar distance is ≈ 3.757 m → rounded 3.76 m.
 

 If you want a different definition of ""point"" (e.g., actual farthest point on the floor polygon rather than the space center) or to restrict which doors count as emergency exits (only exterior doors, or doors with an Emergency flag), I can recompute accordingly.";WAHR;Insufficient information
arc;duplex;Are there fire-rated walls between different zones?;Probably, but we don't know for sure. There is a CMU wall in the building between the two units, but it is not explicitly specified as a firewall.;"Summary of check I ran on the IFC model:
 

 - Total walls found: 113
 - Walls that separate two or more IFC spaces (i.e., between zones): 61
 - Result: I did not find any explicit fire-rating properties on those separating walls.
 

 What I searched
 - For each wall that touches multiple spaces I inspected its property sets for property names containing the substring ""fire"" (case-insensitive). No matching properties or values were found.
 

 Examples (first few separating walls)
 - GUID: 2O2Fr$t4X7Zf8NOew3FKau — Basic Wall:Party Wall - CMU Residential Unit Dimising Wall:143239
 - GUID: 2O2Fr$t4X7Zf8NOew3FL9r — Basic Wall:Interior - Partition (92mm Stud):144586
 - GUID: 2O2Fr$t4X7Zf8NOew3FLIE — Basic Wall:Interior - Partition (92mm Stud):143921
 - GUID: 2O2Fr$t4X7Zf8NOew3FLPP — Basic Wall:Exterior - Brick on Block:143590
 - GUID: 2O2Fr$t4X7Zf8NOew3FLR9 — Basic Wall:Exterior - Brick on Block:143478
 

 Notes and recommended next steps
 - The check looked for property names containing ""fire"". Some models use different naming conventions (e.g., ""FireRating"", ""FRR"", ""FireResistance"", ""Fire_Rating"", or Pset names like Pset_FireRating). If you want, I can run a broader search including keywords ""rating"", ""resist"", ""frr"", or scan all pset names and values.
 - If the model should include fire ratings but does not, I can add a Pset (for example Pset_FireRating with a FireRating property) to selected walls and populate it with the required values.
 - I can also produce an export (CSV) listing the 61 separating walls and all their property sets for your review.
 

 Tell me which of the above you'd like me to do (broader search / add ratings / export report) and I’ll run it.";WAHR;Insufficient information
arc;duplex;What is the width of the emergency escape routes?;The model does not explicitly provide this information. However, it can be inferred that the width is at least 864 mm, based on the width of the doors in the hallway.;The primary emergency escape routes in the model are 0.914 m (914 mm) wide — derived from the IfcStairFlight and IfcDoor bounding-box widths (e.g. stair flight dimension 0.914 m and several doors with 0.914 m clear width).;FALSCH;Indirectly accessible information
arc;duplex;What is the thickness of the insulation of the external walls?;The thickness of the insulation of the external walls is 50 mm.;The external wall has a rigid insulation layer 0.05 m thick — i.e. 50 mm (found on the Exterior Brick-on-Block wall).;WAHR;Directly accessible information
arc;duplex;Which type of glazing is used in the windows?;Information not available in the BIM model.;"The windows use ""Glass"" glazing — the window type's property set (PSet_Revit_Type_Materials and Finishes) lists ""Glass Pane Material"": ""Glass"" (e.g. window 1hOSvn6df7F8_7GcBWlSXO).";WAHR;Insufficient information
arc;duplex;Is there a vapor barrier in the roof construction?;Yes, the roof has two vapor barrier.;"Yes — the model includes a vapor/roof barrier.
 

 What I checked and found:
 - The roof (IfcRoof GlobalId 0jf0rYHfX3RAB3bSIRjmxl, decomposed to IfcSlab 3ThA22djr8AQQ9eQMA5s7I) has an IfcRelAssociatesMaterial linking a IfcMaterialLayerSetUsage.
 - That material layer set contains these layers (order shown in the model):
  - Site - Grass (thickness 0.064 m)
  - Roofing - Barrier (thickness 0.006 m) ← contains keyword ""barrier""
  - Roofing - EPDM Membrane (thickness 0.006 m) ← contains keyword ""membrane""
  - Insulation / Thermal Barriers - Rigid insulation (thickness 0.076 m) ← contains keyword ""barrier""
  - Wood - Sheathing - plywood (thickness 0.019 m)
  - Wood - Dimensional Lumber (thickness 0.286 m)
 - Property sets (PSet_Revit_*) show roof construction and thickness, but no direct vapor-specific PSet entry was found; the vapor-related info is in the material layers above.
 

 Conclusion:
 - Yes — the roof assembly includes layers named ""Roofing - Barrier"" and ""Roofing - EPDM Membrane"", which indicate a vapor/moisture barrier and an EPDM membrane within the roof construction.";WAHR;Directly accessible information
arc;duplex;What type of insulation is used in the external walls?;The external walls utilize 50mm thick rigid insulation located between the air cavity and concrete block.;"The external walls use rigid insulation.  
 Model evidence: materials found named
 - ""Insulation / Thermal Barriers - Rigid insulation"" (IfcMaterial id 4170) — layers with thicknesses ~0.05 m and ~0.076 m were present,
 - (a thin ""Insulation / Thermal Barriers - Semi-rigid insulation"" was also found (IfcMaterial id 4889) with a 0.003 m layer).
 

 Primary exterior wall types (e.g. ""Basic Wall:Exterior - Brick on Block"") are associated with material layer sets that include the rigid insulation layer. If you want, I can list the exact wall GUIDs and the layer-by-layer makeup for any specific exterior wall.";WAHR;Directly accessible information
arc;duplex;Are there any thermal bridges identified in the model?;Information not available in the BIM model.;"Short answer: No — there are no thermal bridges explicitly identified or tagged in the IFC model.
 

 What I checked
 - Searched all IfcPropertySet entries and their properties for thermal-related keys (thermal, u-value / uvalue, psi, linear, heat, transmittance, thermal_bridge, etc.). No matches found.
 - Searched product/entity names for the same keywords. No matches found.
 - Model schema: IFC2X3 (so some modern thermal psets may not be present by default).
 

 What this means
 - There are no explicit IFC properties/psets in the model that label elements as ""thermal bridges"" or that contain psi/u‑value data. In other words, the model does not contain pre‑computed or annotated thermal bridge information.
 - This does NOT guarantee the building is free of thermal bridges. Thermal bridges are typically:
  - identified by thermal analysis (energy/heat transfer software), or
  - documented as specific property sets (e.g., Pset_ThermalBridging / psi-values) or classifications in the IFC.
  The model here simply lacks those explicit annotations.
 

 Recommended next steps to identify thermal bridges
 1. If you want explicit tagging: add a thermal-bridge property set (e.g., Pset_ThermalBridging) and fill psi/u-values for known junctions.
 2. Perform a thermal/energy simulation (e.g., TRNSYS, EnergyPlus, THERM, or commercial thermal-bridge tools) using exported geometry to calculate linear thermal transmittances at junctions.
 3. Run an automated heuristic scan (I can run this) to flag likely geometrical thermal bridge locations (common suspects: wall–foundation junctions, wall–window/door edges, exposed slab edges, steel beams penetrating the envelope, parapets and balconies).
 4. Export the model to a thermal analysis workflow and import results back as IFC property sets so thermal bridges are recorded in the model.
 

 If you want, I can:
 - Run an automated geometry-based scan now to list likely junctions (foundations–walls, window/door/frame interfaces, exposed slab edges, steel beams crossing the envelope) and return their GUIDs and bounding boxes for manual review; or
 - Add placeholder thermal-bridge property sets to elements so you can fill values or import results from a simulation.
 

 Which of those (scan, add psets, or prepare IFC for export) would you like me to do next?";WAHR;Insufficient information
arc;duplex;What is the air tightness rating of the building envelope?;Information not available in the BIM model.;"I could not find an air‑tightness rating recorded in this IFC model. The Building entity only contains PSet_Revit_Other and Pset_BuildingCommon (NumberOfStoreys) — no airtightness property or PSet referencing ""air"", ""airtight"" or similar.
 

 If you want it recorded in the IFC, common locations are:
 - a building or envelope property set (PSet_BuildingCommon, PSet_BuildingThermal, or a custom PSet like Pset_Envelope_Airtightness), or
 - a project-level property set, or
 - element-level Psets on walls/roofs (e.g., Pset_WallCommon, Pset_RoofCommon) or materials.
 

 I can:
 - run a full search through property sets to double-check (and add a short script to report any property names containing ""air"", ""airtight"", ""blowerdoor"", etc.), or
 - add a property (e.g., Pset_BuildingCommon.AirTightness = ""<value>"") into the IFC if you want to store a rating.
 

 Which would you prefer?";WAHR;Insufficient information
arc;duplex;What is the solar heat gain coefficient of the windows?;Information not available in the BIM model.;"Short answer: The IFC model does not contain a solar heat gain coefficient (SHGC / g‑value) for the windows.
 

 What I checked
 - I scanned all IfcWindow entities (24 windows) and inspected their property sets for any property names/values matching common terms (solar, g‑value, gvalue, SHGC, solar transmittance). No matches were found.
 

 What that means
 - There is no explicit SHGC recorded in the IFC properties for these windows, so nothing in the model can be reported as the SHGC.
 

 Useful next steps (I can run any of these for you)
 1. Search more broadly in the IFC for related properties (e.g., any property named “SolarTransmittance”, “SolarHeatGain”, “g_value”, or in material property sets). I can run that and list results.  
 2. Extract glazing/multi‑layer material data (IfcMaterial, IfcMaterialLayerSet, IfcWindowType) and estimate SHGC from layer types and coatings — I’ll need glass layer types, coatings (low‑e), gaps, and gas fills to make an estimate.  
 3. Apply or add a SHGC property to windows in the IFC (for example add Pset_WindowCommon:SHGC = X) if you want to annotate the model with a chosen value or typical default.  
 4. If you just need a reference, typical SHGC ranges are:
  - Clear single glazing: ~0.6–0.8  
  - Clear double glazing (no low‑e): ~0.4–0.6  
  - Double glazing with low‑e coatings: ~0.2–0.5 (depends on coating)  
  - Triple glazing with low‑e: ~0.2–0.4  
  - Tinted or reflective glazing: can be <0.2
 

 If you want me to proceed with any of the actions above (search all property names, extract glazing material data for an estimated SHGC, or write a property into the IFC), tell me which one and I will run it.";WAHR;Insufficient information
